nohup: ignoring input
Training mode
Episode 1 | Step 527 | Step Reward: -0.0
Episode 1 | Step 528 | Step Reward: -0.0
Episode 1 | Step 529 | Step Reward: -0.0
Episode 1 | Step 530 | Step Reward: -0.0
Episode 1 | Step 531 | Step Reward: -0.0
Episode 1 | Step 532 | Step Reward: -0.0
Episode 1 | Step 533 | Step Reward: -0.0
Episode 1 | Step 534 | Step Reward: -0.0
Episode 1 | Step 535 | Step Reward: -0.0
Episode 1 | Step 536 | Step Reward: -0.0
Episode 1 | Step 537 | Step Reward: -0.0
Episode 1 | Step 538 | Step Reward: -0.0
Episode 1 | Step 539 | Step Reward: -0.0
Episode 1 | Step 540 | Step Reward: -0.0
Episode 1 | Step 541 | Step Reward: -0.0
Episode 1 | Step 542 | Step Reward: -0.0
Episode 1 | Step 543 | Step Reward: -0.0
Episode 1 | Step 544 | Step Reward: -0.0
Episode 1 | Step 545 | Step Reward: -0.0
Episode 1 | Step 546 | Step Reward: -0.0
Episode 1 | Step 547 | Step Reward: -0.0
Episode 1 | Step 548 | Step Reward: -0.0
Episode 1 | Step 549 | Step Reward: -0.0
Episode 1 | Step 550 | Step Reward: -0.0
Episode 1 | Step 551 | Step Reward: -0.0
Episode 1 | Step 552 | Step Reward: -0.0
Episode 1 | Step 553 | Step Reward: -0.0
Episode 1 | Step 554 | Step Reward: -0.0
Episode 1 | Step 555 | Step Reward: -0.0
Episode 1 | Step 556 | Step Reward: -0.0
Episode 1 | Step 557 | Step Reward: -0.0
Episode 1 | Step 558 | Step Reward: -0.0
Episode 1 | Step 559 | Step Reward: -0.0
Episode 1 | Step 560 | Step Reward: -0.0
Episode 1 | Step 561 | Step Reward: -0.0
Episode 1 | Step 562 | Step Reward: -0.0
Episode 1 | Step 563 | Step Reward: -0.0
Episode 1 | Step 564 | Step Reward: -0.0
